Cement,Sand,Water,Hours,Bacteria,Fiber,Area
600,1200,270,648,0,1,0.3885714
600,1200,270,660,0,1,0.3922857
600,1200,270,672,0,1,0.39600
600,1200,170,0,1,1,0
600,1200,170,12,1,1,0.0419285
600,1200,170,24,1,1,0.0838571
600,1200,170,36,1,1,0.1257857
600,1200,170,48,1,1,0.1677143
600,1200,170,60,1,1,0.2096428
600,1200,170,72,1,1,0.2515714
600,1200,170,84,1,1,0.2935
600,1200,170,96,1,1,0.3354286
600,1200,170,108,1,1,0.3773571
600,1200,170,120,1,1,0.4192857
600,1200,170,132,1,1,0.4612143
600,1200,170,144,1,1,0.5031429
600,1200,170,156,1,1,0.5450714
600,1200,170,168,1,1,0.58700
600,1200,170,180,1,1,0.6018571
600,1200,170,192,1,1,0.6167143
600,1200,170,204,1,1,0.6315714
600,1200,170,216,1,1,0.6464286
600,1200,170,228,1,1,0.6612857
600,1200,170,240,1,1,0.6761429
600,1200,170,252,1,1,0.6910001
600,1200,170,264,1,1,0.7058572
600,1200,170,276,1,1,0.7207143
600,1200,170,288,1,1,0.7355714
600,1200,170,300,1,1,0.7504285
600,1200,170,312,1,1,0.7652857
600,1200,170,324,1,1,0.7801428
600,1200,170,336,1,1,0.79500
600,1200,170,348,1,1,0.8022144
600,1200,170,360,1,1,0.8094286
600,1200,170,372,1,1,0.8166429
600,1200,170,384,1,1,0.8238571
600,1200,170,396,1,1,0.8310714
600,1200,170,408,1,1,0.8382857
600,1200,170,420,1,1,0.8455
600,1200,170,432,1,1,0.8527143
600,1200,170,444,1,1,0.8599286
600,1200,170,456,1,1,0.8671429
600,1200,170,468,1,1,0.8743571
600,1200,170,480,1,1,0.8815714
600,1200,170,492,1,1,0.8887857
600,1200,170,504,1,1,0.89600
600,1200,170,516,1,1,0.9006429
600,1200,170,528,1,1,0.9052857
600,1200,170,540,1,1,0.9099286
600,1200,170,552,1,1,0.9145714
600,1200,170,564,1,1,0.9192142
600,1200,170,576,1,1,0.9238571
600,1200,170,588,1,1,0.9285001
600,1200,170,600,1,1,0.9331429
600,1200,170,612,1,1,0.9377858
600,1200,170,624,1,1,0.9424286
600,1200,170,636,1,1,0.9470714
600,1200,170,648,1,1,0.9517142
600,1200,170,660,1,1,0.9563571
600,1200,170,672,1,1,0.96100
600,1200,270,0,0,0,0
600,1200,270,12,0,0,0.02
600,1200,270,24,0,0,0.04
600,1200,270,36,0,0,0.06
600,1200,270,48,0,0,0.08
600,1200,270,60,0,0,0.1
600,1200,270,72,0,0,0.12
600,1200,270,84,0,0,0.14
600,1200,270,96,0,0,0.16
600,1200,270,108,0,0,0.18
600,1200,270,120,0,0,0.2
600,1200,270,132,0,0,0.22
600,1200,270,144,0,0,0.24
600,1200,270,156,0,0,0.26
600,1200,270,168,0,0,0.28
600,1200,270,180,0,0,0.2838095
600,1200,270,192,0,0,0.287619
600,1200,270,204,0,0,0.2914285
600,1200,270,216,0,0,0.2952381
600,1200,270,228,0,0,0.2990476
